Time,Signal strength (dBm)
0.126953,-31 dBm
0.434532,-34 dBm
0.741886,-30 dBm
1.048963,-36 dBm
1.35632,-31 dBm
1.663116,-32 dBm
1.970679,-33 dBm
2.27742,-30 dBm
2.584802,-32 dBm
2.892275,-34 dBm
3.199444,-32 dBm
3.50658,-32 dBm
3.813831,-35 dBm
4.121098,-32 dBm
4.428263,-32 dBm
4.735452,-32 dBm
5.042435,-32 dBm
5.349645,-33 dBm
5.656897,-32 dBm
5.964202,-35 dBm
6.272136,-32 dBm
6.57848,-34 dBm
6.88616,-44 dBm
7.192898,-39 dBm
7.50021,-39 dBm
7.807748,-33 dBm
8.114382,-30 dBm
8.422155,-31 dBm
8.728724,-30 dBm
9.036013,-31 dBm
9.343719,-30 dBm
9.959297,-31 dBm
10.264871,-32 dBm
10.571998,-34 dBm
10.879591,-31 dBm
11.186339,-30 dBm
11.49373,-34 dBm
11.800226,-38 dBm
12.108124,-43 dBm
12.415236,-33 dBm
12.722557,-31 dBm
13.029734,-35 dBm
13.336796,-33 dBm
13.643941,-33 dBm
13.951566,-31 dBm
14.258373,-33 dBm
14.87291,-31 dBm
15.179899,-31 dBm
15.486978,-30 dBm
15.79475,-33 dBm
16.101469,-32 dBm
16.40924,-31 dBm
16.715945,-31 dBm
17.023272,-31 dBm
17.330275,-32 dBm
17.63755,-29 dBm
17.944089,-40 dBm
18.252009,-40 dBm
18.559256,-32 dBm
19.173563,-32 dBm
19.481175,-31 dBm
19.788393,-31 dBm
20.094922,-33 dBm
20.402712,-33 dBm
20.709397,-32 dBm
21.01706,-31 dBm
21.324324,-31 dBm
21.63102,-30 dBm
21.938326,-33 dBm
22.552668,-39 dBm
22.859971,-39 dBm
23.166971,-30 dBm
23.474342,-34 dBm
23.781315,-31 dBm
24.088661,-32 dBm
24.396285,-32 dBm
24.702953,-33 dBm
25.010348,-32 dBm
25.31737,-32 dBm
25.62452,-32 dBm
25.93191,-33 dBm
26.238963,-32 dBm
26.546704,-35 dBm
26.852862,-34 dBm
27.160517,-31 dBm
27.467805,-31 dBm
27.775115,-33 dBm
28.082319,-30 dBm
28.696583,-41 dBm
29.00419,-39 dBm
29.311043,-31 dBm
29.925478,-31 dBm
30.23246,-30 dBm
30.846942,-32 dBm
31.460867,-30 dBm
31.768463,-30 dBm
32.075839,-36 dBm
32.383024,-38 dBm
32.690046,-44 dBm
33.304892,-29 dBm
33.613298,-34 dBm
33.918853,-30 dBm
34.225803,-33 dBm
34.533256,-32 dBm
34.840565,-31 dBm
35.14764,-32 dBm
35.454851,-32 dBm
35.762006,-33 dBm
36.06972,-32 dBm
36.376561,-33 dBm
36.683552,-31 dBm
36.990955,-36 dBm
37.298148,-43 dBm
37.605726,-39 dBm
37.912437,-34 dBm
38.219069,-31 dBm
38.526991,-31 dBm
39.141127,-31 dBm
39.448883,-32 dBm
39.755622,-30 dBm
40.062924,-31 dBm
40.370082,-31 dBm
40.677029,-31 dBm
40.984331,-32 dBm
41.291712,-39 dBm
41.599255,-45 dBm
41.906083,-31 dBm
42.213,-32 dBm
42.520384,-30 dBm
42.828465,-32 dBm
43.134884,-31 dBm
43.442442,-30 dBm
43.749008,-33 dBm
44.056809,-31 dBm
44.363548,-31 dBm
44.670738,-32 dBm
44.978046,-32 dBm
45.285085,-31 dBm
45.592572,-35 dBm
45.89953,-39 dBm
46.206639,-38 dBm
46.513891,-36 dBm
46.821097,-34 dBm
47.128269,-32 dBm
47.435477,-32 dBm
48.050373,-31 dBm
48.357009,-32 dBm
48.664231,-31 dBm
48.971262,-31 dBm
49.27859,-30 dBm
49.586245,-30 dBm
49.893471,-31 dBm
50.200251,-30 dBm
50.507578,-31 dBm
50.81445,-32 dBm
51.122406,-32 dBm
51.429136,-34 dBm
51.736052,-37 dBm
52.043895,-38 dBm
52.350676,-42 dBm
52.657811,-35 dBm
52.964525,-30 dBm
53.272181,-33 dBm
53.579897,-30 dBm
53.886673,-35 dBm
54.193875,-34 dBm
54.501095,-34 dBm
54.808169,-30 dBm
55.115577,-31 dBm
55.729759,-31 dBm
55.729759,-31 dBm
56.958492,-29 dBm
57.265148,-30 dBm
57.573173,-38 dBm
57.880234,-39 dBm
58.18744,-37 dBm
58.493849,-32 dBm
58.801664,-30 dBm
59.109031,-30 dBm
59.4163,-31 dBm
59.723245,-30 dBm
60.030535,-31 dBm
60.340314,-31 dBm
60.644803,-32 dBm
60.952127,-32 dBm
61.259155,-33 dBm
61.566594,-38 dBm
61.873585,-44 dBm
62.180903,-37 dBm
62.488183,-29 dBm
62.795222,-35 dBm
63.101874,-32 dBm
63.409155,-32 dBm
63.716735,-33 dBm
64.023502,-32 dBm
64.331142,-31 dBm
64.638419,-30 dBm
64.947667,-30 dBm
65.25293,-32 dBm
65.559967,-31 dBm
65.867134,-31 dBm
66.174707,-32 dBm
66.481789,-31 dBm
66.78836,-37 dBm
67.095944,-43 dBm
67.403149,-40 dBm
67.710391,-37 dBm
68.018048,0 dBm
68.324187,-31 dBm
68.632107,-31 dBm
68.939175,-31 dBm
69.246841,-31 dBm
69.553756,-32 dBm
69.86068,-32 dBm
70.16794,-33 dBm
70.475319,-32 dBm
70.781805,-32 dBm
71.089931,-32 dBm
71.397051,-31 dBm
71.704002,-36 dBm
72.011549,-39 dBm
72.319459,-44 dBm
72.624914,-34 dBm
72.932689,-31 dBm
73.239287,-32 dBm
73.54759,-31 dBm
73.854215,-32 dBm
74.161593,-33 dBm
74.46917,-32 dBm
74.775247,-31 dBm
75.083202,-31 dBm
75.390203,-33 dBm
75.697442,-32 dBm
76.004765,-31 dBm
76.311298,-33 dBm
76.618936,-30 dBm
76.926156,-31 dBm
77.23447,-43 dBm
77.540807,-38 dBm
77.847793,-32 dBm
78.155054,-32 dBm
78.462394,-32 dBm
78.769309,-31 dBm
79.077082,-31 dBm
79.383832,-32 dBm
79.691196,-33 dBm
79.99828,-31 dBm
80.3053,-31 dBm
80.612612,-31 dBm
81.227128,-35 dBm
81.84128,-43 dBm
82.148564,-34 dBm
82.455901,-29 dBm
82.763098,-32 dBm
83.07064,-31 dBm
83.377599,-33 dBm
83.684606,-31 dBm
83.992143,-32 dBm
84.299424,-34 dBm
84.60656,-32 dBm
84.913342,-32 dBm
85.220091,-34 dBm
85.527676,-34 dBm
85.835288,-33 dBm
86.142266,-35 dBm
86.449243,-33 dBm
86.756713,-31 dBm
87.063799,-34 dBm
87.370824,-32 dBm
87.678205,-34 dBm
87.985197,-31 dBm
88.291877,-30 dBm
88.600163,-39 dBm
88.906738,-43 dBm
89.521078,-32 dBm
90.135654,-32 dBm
90.442745,-33 dBm
90.750085,-29 dBm
91.057088,-30 dBm
91.364763,-30 dBm
91.67164,-32 dBm
91.978739,-31 dBm
92.286507,-36 dBm
92.593226,-38 dBm
92.900412,-39 dBm
93.207717,-29 dBm
93.514791,-34 dBm
93.821485,-32 dBm
94.129184,-34 dBm
94.436229,-32 dBm
94.743062,-33 dBm
95.050813,-33 dBm
95.358358,-33 dBm
95.665269,-33 dBm
95.972256,-31 dBm
96.280035,-32 dBm
96.58718,-35 dBm
96.893826,-31 dBm
97.201129,-33 dBm
97.508311,-42 dBm
97.816024,-42 dBm
98.430061,-31 dBm
98.737188,-32 dBm
99.044336,-31 dBm
99.351672,-34 dBm
99.658749,-31 dBm
99.965771,-32 dBm
100.273236,-32 dBm
100.580199,-37 dBm
100.887624,-40 dBm
101.194857,-42 dBm
101.501815,-36 dBm
101.809469,-31 dBm
102.115748,-32 dBm
102.423391,-32 dBm
102.730742,-33 dBm
103.037851,-31 dBm
103.345195,-32 dBm
103.652738,-33 dBm
103.959335,-32 dBm
104.266581,-33 dBm
104.573879,-33 dBm
104.88141,-32 dBm
105.18833,-34 dBm
105.495351,-31 dBm
105.802556,-36 dBm
106.109819,-31 dBm
106.724334,0 dBm
107.337951,-35 dBm
107.645672,-43 dBm
107.952808,-43 dBm
108.260186,-39 dBm
108.567301,-32 dBm
108.875051,-32 dBm
109.18186,-32 dBm
109.488915,-32 dBm
109.796298,-31 dBm
110.103259,-33 dBm
110.410721,-32 dBm
110.718642,-33 dBm
111.024917,-33 dBm
111.332005,-32 dBm
111.639289,-32 dBm
111.94639,-37 dBm
112.25512,-37 dBm
112.560823,-43 dBm
112.868144,-41 dBm
113.175383,-34 dBm
113.482341,-29 dBm
113.789851,-33 dBm
114.096933,-32 dBm
114.404259,-35 dBm
114.71137,0 dBm
115.018414,-33 dBm
115.325806,-32 dBm
115.63277,-31 dBm
115.940245,-32 dBm
116.24872,-33 dBm
116.554377,-33 dBm
116.862928,-36 dBm
117.168819,-30 dBm
117.476015,-32 dBm
117.784689,-40 dBm
118.090573,-40 dBm
118.3981,-40 dBm
118.704785,-36 dBm
119.011938,-32 dBm
119.319686,-32 dBm
119.626265,-34 dBm
120.240911,-31 dBm
120.547905,-31 dBm
120.855164,-33 dBm
121.162403,-32 dBm
121.469742,-33 dBm
121.776414,-32 dBm
122.083903,-34 dBm
122.698307,-45 dBm
123.312406,-31 dBm
123.926681,-31 dBm
124.233945,-33 dBm
124.541489,-31 dBm
124.8488,-32 dBm
125.156278,-31 dBm
125.46364,-33 dBm
125.770097,-32 dBm
126.077451,-33 dBm
126.385095,-31 dBm
126.691942,-31 dBm
127.306766,-29 dBm
127.613453,-44 dBm
127.920708,-42 dBm
128.229699,-42 dBm
128.534959,-32 dBm
128.841536,-34 dBm
129.149418,-31 dBm
129.457189,-31 dBm
129.764302,-31 dBm
130.071395,0 dBm
130.378622,-32 dBm
130.685329,-31 dBm
130.993109,-31 dBm
131.300214,-37 dBm
131.913602,-37 dBm
132.221286,-29 dBm
132.527918,-30 dBm
132.835947,-32 dBm
133.142839,-32 dBm
133.450682,-31 dBm
133.75748,-32 dBm
134.064526,-32 dBm
134.372294,-32 dBm
134.678832,-32 dBm
134.986667,-34 dBm
135.293184,-32 dBm
135.600511,-32 dBm
135.907429,-30 dBm
136.214973,-33 dBm
136.522119,-31 dBm
136.829532,-31 dBm
137.136547,-45 dBm
137.444114,-42 dBm
137.751003,0 dBm
138.058144,-35 dBm
138.365786,-32 dBm
138.672428,-30 dBm
138.97952,-34 dBm
139.287027,-32 dBm
139.905,-32 dBm
140.516085,-32 dBm
140.822437,-33 dBm
141.130012,-31 dBm
141.436748,-36 dBm
141.744546,-42 dBm
142.05205,-30 dBm
142.35927,-34 dBm
142.665981,-31 dBm
142.972922,-33 dBm
143.587603,-33 dBm
143.89484,-34 dBm
144.202208,-32 dBm
144.508693,-31 dBm
144.816628,0 dBm
145.12345,-32 dBm
145.430054,0 dBm
145.738,-32 dBm
146.045598,-31 dBm
146.352877,-32 dBm
146.659542,-31 dBm
146.967699,-30 dBm
147.274084,-37 dBm
147.581423,-44 dBm
147.888877,-38 dBm
148.195436,-33 dBm
148.810193,-32 dBm
149.117003,-31 dBm
149.424105,-30 dBm
149.731647,-34 dBm
150.039212,-31 dBm
150.654906,-33 dBm
150.959671,-31 dBm
151.266977,-37 dBm
151.574911,-43 dBm
151.882089,-33 dBm
152.189059,-32 dBm
152.496563,-32 dBm
152.804816,-32 dBm
153.110409,0 dBm
153.418368,-32 dBm
153.725028,-31 dBm
154.031864,-32 dBm
154.339644,-32 dBm
154.64662,-31 dBm
154.953873,-32 dBm
155.567963,-36 dBm
155.87537,-29 dBm
156.182535,-33 dBm
156.489839,-44 dBm
157.104739,-33 dBm
157.41143,-29 dBm
157.718719,-30 dBm
158.025943,-29 dBm
158.332428,-31 dBm
158.640698,-31 dBm
158.947918,-29 dBm
159.254449,-32 dBm
159.56221,-33 dBm
159.869025,-38 dBm
160.179403,-40 dBm
160.483886,-29 dBm
160.790509,0 dBm
161.097977,-35 dBm
161.404337,-33 dBm
161.711995,-31 dBm
162.019858,-33 dBm
162.636722,-32 dBm
162.941416,-33 dBm
163.248133,-32 dBm
163.556995,-32 dBm
163.862666,-32 dBm
164.169687,-31 dBm
164.477412,-31 dBm
164.784132,-34 dBm
165.397934,-30 dBm
165.705614,-33 dBm
166.012297,-30 dBm
166.320085,-42 dBm
166.627323,-40 dBm
166.934568,-38 dBm
167.241666,-31 dBm
167.551565,-32 dBm
167.855584,-30 dBm
168.162611,-31 dBm
168.470022,0 dBm
168.777619,-32 dBm
169.084917,-31 dBm
169.392119,-33 dBm
169.699295,-33 dBm
170.006834,-31 dBm
170.313671,-31 dBm
170.620744,-31 dBm
170.928436,-38 dBm
171.234947,-39 dBm
171.541784,-31 dBm
171.84969,-31 dBm
172.159121,-33 dBm
172.463185,-31 dBm
172.771824,-32 dBm
173.078911,-32 dBm
173.384967,-31 dBm
173.692922,-31 dBm
173.999675,-31 dBm
174.307086,-33 dBm
174.614089,-32 dBm
174.92168,-32 dBm
175.228706,-32 dBm
175.535898,-31 dBm
175.84259,-33 dBm
176.457976,-42 dBm
176.764589,-39 dBm
177.072075,-38 dBm
