Time,Signal strength (dBm)
0.084607,-40 dBm
0.391292,-42 dBm
1.006154,-40 dBm
1.31381,-40 dBm
1.620537,-40 dBm
1.927505,-40 dBm
2.234966,-40 dBm
2.542249,-42 dBm
2.849779,-42 dBm
3.157069,-43 dBm
3.464281,-40 dBm
3.77101,-40 dBm
4.078711,-40 dBm
4.385769,-40 dBm
4.692036,-40 dBm
5.001211,-40 dBm
5.306986,-40 dBm
5.61427,-40 dBm
5.921389,-40 dBm
6.228922,-40 dBm
6.535658,-40 dBm
6.843854,-40 dBm
7.14963,-40 dBm
7.763962,-40 dBm
8.071622,-40 dBm
8.686584,-40 dBm
8.99377,-40 dBm
9.300626,-40 dBm
9.915361,-40 dBm
10.529246,-40 dBm
10.836533,-40 dBm
11.143709,-40 dBm
11.450884,-40 dBm
11.758609,-40 dBm
12.06517,-40 dBm
12.372823,-40 dBm
12.679726,-40 dBm
12.986421,-39 dBm
13.294047,-40 dBm
13.601137,-39 dBm
13.908422,-40 dBm
14.215611,-40 dBm
14.523548,-40 dBm
15.13703,-40 dBm
15.44479,-40 dBm
15.751513,-39 dBm
16.366349,-40 dBm
16.673003,-39 dBm
16.98075,-39 dBm
17.287618,-40 dBm
17.594692,-39 dBm
17.902333,-39 dBm
18.209268,-40 dBm
18.516721,-39 dBm
18.823642,-41 dBm
19.130717,-40 dBm
19.438388,-41 dBm
19.744933,-40 dBm
20.052299,-39 dBm
20.359536,-40 dBm
20.666631,-42 dBm
20.97402,-40 dBm
21.281207,-41 dBm
21.588217,-41 dBm
21.895968,-42 dBm
22.202633,-40 dBm
22.509953,-40 dBm
22.817187,-42 dBm
23.1241,-40 dBm
23.431842,-41 dBm
24.352981,-42 dBm
24.660196,-40 dBm
24.967447,-40 dBm
25.274649,-40 dBm
25.581806,-40 dBm
25.889487,-41 dBm
26.503423,-42 dBm
26.810641,-41 dBm
27.117612,-40 dBm
27.425471,-41 dBm
27.732157,-41 dBm
28.039474,-41 dBm
28.346997,-41 dBm
28.653694,-40 dBm
28.960656,-41 dBm
29.267594,-42 dBm
29.575815,-40 dBm
29.882937,-41 dBm
30.189648,-41 dBm
30.497428,-42 dBm
30.804201,-41 dBm
31.111241,-43 dBm
31.72564,-42 dBm
32.033387,-41 dBm
32.340252,-40 dBm
32.647202,-41 dBm
32.95486,-40 dBm
33.261708,-40 dBm
33.56934,-41 dBm
33.875413,-42 dBm
34.183193,-41 dBm
34.490497,-40 dBm
34.797734,-41 dBm
35.105346,-43 dBm
35.412535,-40 dBm
35.71907,-40 dBm
36.026909,-41 dBm
36.333533,-40 dBm
36.640782,-41 dBm
36.948515,-43 dBm
37.255196,-40 dBm
37.562778,-40 dBm
37.869757,-40 dBm
38.17674,-40 dBm
38.484486,-41 dBm
38.79131,-40 dBm
39.405652,-41 dBm
39.712858,-43 dBm
40.019773,-40 dBm
40.32726,-40 dBm
40.942039,-42 dBm
41.24861,-40 dBm
41.555963,-40 dBm
41.863253,-40 dBm
42.170244,-41 dBm
42.478028,-41 dBm
43.399266,-40 dBm
43.70615,-42 dBm
44.013994,-41 dBm
44.32068,-41 dBm
44.628283,-39 dBm
44.935033,-39 dBm
45.24224,-40 dBm
45.54994,-39 dBm
45.856644,-41 dBm
46.163782,-41 dBm
46.471429,-40 dBm
47.085947,-39 dBm
47.392743,-40 dBm
47.699644,-42 dBm
48.007511,-40 dBm
48.314103,-42 dBm
48.621794,-42 dBm
48.928361,-41 dBm
49.237188,-40 dBm
49.850646,-40 dBm
50.1575,-40 dBm
50.46503,-41 dBm
50.771598,-41 dBm
51.079146,-41 dBm
51.38666,-40 dBm
52.000592,-41 dBm
52.307667,-40 dBm
52.614973,-40 dBm
52.922149,-40 dBm
53.229177,-40 dBm
53.536668,-41 dBm
53.843856,-39 dBm
54.151295,-41 dBm
54.458598,0 dBm
55.072395,-40 dBm
55.380481,-42 dBm
55.687323,-40 dBm
55.994115,-40 dBm
56.301229,-41 dBm
56.608958,-40 dBm
56.915782,-42 dBm
57.530442,-40 dBm
57.837182,-40 dBm
58.144474,-39 dBm
58.451664,-41 dBm
58.75866,-40 dBm
59.066514,-39 dBm
59.373292,-40 dBm
59.680917,-41 dBm
59.98811,-41 dBm
60.294779,-43 dBm
60.601835,-41 dBm
60.909326,-43 dBm
61.21688,-40 dBm
61.5239,-40 dBm
61.830721,-40 dBm
62.445561,-40 dBm
62.752299,-40 dBm
63.060943,-42 dBm
63.366866,-43 dBm
63.674436,-41 dBm
63.981618,-43 dBm
64.288296,-40 dBm
64.5958,-41 dBm
64.902864,-41 dBm
65.210429,-42 dBm
65.517124,-40 dBm
65.824306,-43 dBm
66.438637,-41 dBm
66.745849,-40 dBm
67.053568,-42 dBm
67.360233,-40 dBm
67.667162,-39 dBm
67.974787,-39 dBm
68.589456,-41 dBm
68.896212,-40 dBm
69.203944,-39 dBm
69.510783,-40 dBm
69.817653,0 dBm
70.12553,-42 dBm
70.432372,-41 dBm
70.739412,-42 dBm
71.353971,-41 dBm
71.662691,-42 dBm
71.968364,-42 dBm
72.275368,-41 dBm
72.583078,-41 dBm
72.889762,-41 dBm
73.197481,-44 dBm
73.504334,-43 dBm
73.81131,-41 dBm
74.118949,-41 dBm
74.425741,-43 dBm
74.733037,-43 dBm
75.040104,-42 dBm
75.347303,-41 dBm
75.961665,-42 dBm
76.268914,-44 dBm
76.576269,-42 dBm
76.883288,-42 dBm
77.191023,-42 dBm
77.804953,-42 dBm
78.112236,-43 dBm
78.419257,-42 dBm
78.726192,-43 dBm
79.033817,-44 dBm
79.340584,-43 dBm
79.648574,-42 dBm
79.955296,-43 dBm
80.262479,-42 dBm
80.57017,-43 dBm
80.876681,-42 dBm
81.18445,-42 dBm
81.491348,-43 dBm
81.798541,-43 dBm
82.105795,-40 dBm
82.412753,-41 dBm
83.027318,-40 dBm
83.334386,-43 dBm
83.642001,-42 dBm
83.948889,-43 dBm
84.256011,-43 dBm
84.563613,-41 dBm
85.486611,-41 dBm
85.792064,-40 dBm
86.099356,-41 dBm
86.406183,-41 dBm
86.713372,-43 dBm
87.020793,-41 dBm
87.327985,-43 dBm
87.942317,-43 dBm
88.249556,-42 dBm
88.55676,-42 dBm
88.863894,-43 dBm
89.171617,-43 dBm
89.47822,-42 dBm
89.785479,-41 dBm
90.092804,-42 dBm
90.399859,-42 dBm
90.707125,-42 dBm
91.014306,-43 dBm
91.321462,-42 dBm
91.629152,-42 dBm
91.93581,-42 dBm
92.243444,-43 dBm
92.550296,-42 dBm
93.165024,-43 dBm
93.471781,-42 dBm
93.779019,-41 dBm
94.087041,-41 dBm
94.393361,-41 dBm
95.007752,-44 dBm
95.31503,-42 dBm
95.622689,-41 dBm
95.93051,-41 dBm
96.236574,-43 dBm
96.543898,-41 dBm
96.851093,-41 dBm
97.158653,-41 dBm
97.465299,-41 dBm
97.772567,-43 dBm
98.079859,-41 dBm
98.386937,-41 dBm
98.693605,-41 dBm
99.001287,-42 dBm
99.922898,-40 dBm
100.230067,-42 dBm
100.84464,-41 dBm
101.151813,-39 dBm
101.766527,-40 dBm
102.073169,-42 dBm
102.380501,-41 dBm
102.688151,-40 dBm
102.994813,-39 dBm
103.302183,-40 dBm
103.608695,-40 dBm
103.916296,-41 dBm
104.224029,-42 dBm
104.530804,-41 dBm
104.83817,-42 dBm
105.145347,-43 dBm
105.452244,-41 dBm
105.759572,-42 dBm
106.066828,-41 dBm
106.374396,-42 dBm
106.68167,-42 dBm
106.988328,-41 dBm
107.295733,-43 dBm
107.60293,-41 dBm
107.910193,-41 dBm
108.524285,-41 dBm
108.831622,-41 dBm
109.138793,-41 dBm
109.445855,-42 dBm
109.753094,-41 dBm
110.367586,-43 dBm
110.674742,-42 dBm
110.98175,-41 dBm
111.290202,-41 dBm
111.59643,-42 dBm
111.903651,-40 dBm
112.211182,-42 dBm
112.517887,-40 dBm
112.825191,-40 dBm
113.132913,-40 dBm
113.746614,-40 dBm
114.05398,-39 dBm
114.361446,-41 dBm
114.668299,-40 dBm
114.975377,-40 dBm
115.282811,-40 dBm
115.591036,-41 dBm
116.204299,-40 dBm
116.511365,-41 dBm
116.818612,-41 dBm
117.12614,-40 dBm
117.4334,-42 dBm
117.740188,-40 dBm
118.04737,-42 dBm
118.354823,-42 dBm
118.661928,-41 dBm
118.96886,-39 dBm
119.276249,-41 dBm
119.583299,-40 dBm
119.89107,-41 dBm
120.197881,-42 dBm
120.504902,-41 dBm
120.812251,-42 dBm
121.119331,-41 dBm
121.426952,-42 dBm
121.733755,-40 dBm
122.04075,-40 dBm
122.655262,-41 dBm
122.963026,-41 dBm
123.269834,-40 dBm
123.884558,-40 dBm
124.191301,-39 dBm
124.49842,-41 dBm
124.805688,-39 dBm
125.420227,-41 dBm
125.727344,-41 dBm
126.034402,-40 dBm
126.341779,-40 dBm
126.648708,-41 dBm
126.956531,-42 dBm
127.263156,-41 dBm
127.5704,-40 dBm
127.877815,-41 dBm
128.184942,-40 dBm
128.492208,-41 dBm
128.79931,-40 dBm
129.106358,-42 dBm
129.414088,-41 dBm
129.720894,-40 dBm
130.027937,-41 dBm
130.335203,-41 dBm
130.642311,-41 dBm
130.950072,-42 dBm
131.564052,-42 dBm
131.871272,-42 dBm
132.178239,-41 dBm
132.792617,-42 dBm
133.099774,-42 dBm
133.407621,-40 dBm
133.714418,-40 dBm
134.021488,-41 dBm
134.328902,-41 dBm
134.635749,-41 dBm
134.943504,-41 dBm
135.250197,-41 dBm
135.557347,-41 dBm
135.864329,-43 dBm
136.171877,-42 dBm
136.479202,-41 dBm
136.785659,-41 dBm
137.093393,-41 dBm
137.401141,-41 dBm
137.707988,-40 dBm
138.01554,-42 dBm
138.322356,-42 dBm
138.629481,-41 dBm
138.936761,0 dBm
139.243754,-42 dBm
139.550892,-40 dBm
139.858298,-42 dBm
140.166997,-43 dBm
140.473116,-40 dBm
140.77988,-41 dBm
141.086927,-40 dBm
141.394244,-41 dBm
141.701304,-41 dBm
142.010194,-40 dBm
142.315936,-40 dBm
142.622896,-42 dBm
142.930644,-41 dBm
143.237216,-41 dBm
143.544682,-41 dBm
143.851846,-42 dBm
144.158771,-41 dBm
144.466627,-40 dBm
144.773446,-40 dBm
145.080462,-41 dBm
145.388197,-41 dBm
145.695333,-41 dBm
146.002593,-41 dBm
146.30932,-41 dBm
146.924185,-42 dBm
147.230835,-41 dBm
147.538583,-41 dBm
147.845258,-41 dBm
148.152416,-40 dBm
148.459872,-39 dBm
148.766763,-40 dBm
149.074549,-40 dBm
149.381042,-41 dBm
149.688355,-40 dBm
149.996132,-40 dBm
150.302934,-42 dBm
150.609859,-40 dBm
150.916907,-42 dBm
151.22435,-43 dBm
151.532011,-43 dBm
151.838828,-43 dBm
152.145936,-41 dBm
152.453602,-41 dBm
152.76038,-40 dBm
153.067982,-41 dBm
153.375274,-41 dBm
153.681555,-40 dBm
153.989562,-42 dBm
154.603528,-42 dBm
154.910819,-42 dBm
155.217884,-40 dBm
155.525286,-41 dBm
155.83244,-41 dBm
156.139461,-40 dBm
156.447193,-40 dBm
157.061602,-39 dBm
157.368439,-41 dBm
157.675462,-41 dBm
157.983054,-41 dBm
158.289906,-41 dBm
158.597564,-41 dBm
158.904658,-40 dBm
159.211303,-40 dBm
159.519149,-39 dBm
159.825306,-39 dBm
160.132961,-39 dBm
160.440382,-39 dBm
160.747366,-40 dBm
161.05514,-42 dBm
161.361738,-41 dBm
161.66895,-41 dBm
161.976731,0 dBm
162.283428,-41 dBm
162.590312,-40 dBm
163.204984,-40 dBm
163.51201,-41 dBm
163.819501,-41 dBm
164.126974,-41 dBm
164.434272,-40 dBm
164.740865,-40 dBm
165.048571,-39 dBm
165.355464,-39 dBm
165.662433,-40 dBm
165.969797,-39 dBm
166.276871,-40 dBm
166.584532,-39 dBm
166.891381,-41 dBm
167.198474,-40 dBm
167.505776,-42 dBm
167.812871,-41 dBm
168.120605,-41 dBm
168.42779,-40 dBm
168.734447,-41 dBm
169.042192,-40 dBm
169.349007,-41 dBm
169.963398,-40 dBm
170.270329,-41 dBm
170.578156,-41 dBm
170.884964,-41 dBm
171.191914,-41 dBm
171.499751,-41 dBm
171.806389,-41 dBm
172.11412,-41 dBm
172.42097,-41 dBm
172.727882,-40 dBm
173.035318,-41 dBm
173.649997,-40 dBm
173.956953,-43 dBm
174.263931,-41 dBm
174.878322,-40 dBm
175.185613,-40 dBm
175.492934,-41 dBm
175.799797,-41 dBm
176.107656,-40 dBm
176.41449,-41 dBm
176.721435,-41 dBm
177.028797,-42 dBm
177.335784,0 dBm
