Time,Signal strength (dBm)
86.901148,-29 dBm
87.206554,-31 dBm
87.513728,-32 dBm
87.820492,-35 dBm
88.128212,-29 dBm
88.434797,-35 dBm
88.742091,-35 dBm
89.049391,-37 dBm
89.663461,-40 dBm
89.970645,-36 dBm
90.27834,-31 dBm
90.892555,-33 dBm
91.199718,-32 dBm
91.506914,-31 dBm
92.121329,-33 dBm
92.428313,-31 dBm
92.735602,-31 dBm
93.042603,-32 dBm
93.350004,-30 dBm
93.65719,-33 dBm
93.964404,-37 dBm
94.272047,-39 dBm
94.578637,-41 dBm
94.885599,-40 dBm
95.193181,-34 dBm
95.500217,-29 dBm
95.808012,-34 dBm
96.115119,-33 dBm
96.421831,-32 dBm
96.729491,-29 dBm
97.343549,-33 dBm
97.650733,-32 dBm
97.95783,-32 dBm
98.26766,-30 dBm
98.572231,-33 dBm
98.879005,-30 dBm
99.186693,-29 dBm
99.49379,0 dBm
99.801186,-31 dBm
100.108282,-33 dBm
100.415379,-35 dBm
100.723123,-38 dBm
101.02976,-41 dBm
101.336711,-35 dBm
101.64462,-33 dBm
101.951251,-32 dBm
102.258654,-32 dBm
102.565934,-31 dBm
102.873399,-32 dBm
103.180244,-31 dBm
103.487346,-33 dBm
103.79464,-31 dBm
104.101871,-32 dBm
104.408936,-31 dBm
105.023326,-35 dBm
105.330611,-39 dBm
105.638247,-36 dBm
106.252632,-29 dBm
106.559171,-28 dBm
106.868656,-29 dBm
107.173757,0 dBm
107.480927,-31 dBm
107.788159,-32 dBm
108.095651,-33 dBm
108.40299,-31 dBm
108.710207,-31 dBm
109.016783,-34 dBm
109.324029,-33 dBm
109.631397,-30 dBm
109.93848,-34 dBm
110.246119,-33 dBm
110.552814,-35 dBm
110.862954,-41 dBm
111.17142,-31 dBm
111.47441,-35 dBm
112.08879,-34 dBm
112.396195,-32 dBm
112.703361,-34 dBm
113.010405,-39 dBm
113.317739,-38 dBm
113.932505,-29 dBm
114.239099,-30 dBm
114.546278,-30 dBm
114.85373,0 dBm
115.16091,-31 dBm
115.46784,-31 dBm
115.776578,-33 dBm
116.082317,-29 dBm
116.390056,-29 dBm
117.003897,-34 dBm
117.311276,-38 dBm
117.618347,-35 dBm
117.925695,-35 dBm
118.232883,-33 dBm
118.539856,-31 dBm
118.849622,-30 dBm
119.15436,-31 dBm
119.461477,-33 dBm
119.769187,-31 dBm
120.076179,-30 dBm
120.383135,-36 dBm
120.690867,-40 dBm
120.997463,-42 dBm
121.305068,-38 dBm
121.611996,-33 dBm
121.918777,-31 dBm
122.229698,-28 dBm
122.841142,-30 dBm
123.148815,-31 dBm
123.455177,-33 dBm
123.762299,-30 dBm
124.06944,-30 dBm
124.37911,-31 dBm
124.683871,-30 dBm
124.991053,-32 dBm
125.298712,-28 dBm
125.605431,-31 dBm
125.912994,-34 dBm
126.220247,-33 dBm
126.52695,-30 dBm
126.834695,-36 dBm
127.141342,-39 dBm
127.448574,-42 dBm
127.755432,-40 dBm
128.062792,-35 dBm
128.370659,-31 dBm
128.6775,-31 dBm
128.984691,-31 dBm
129.292636,-31 dBm
129.598859,-30 dBm
129.905718,-32 dBm
130.520646,-31 dBm
130.830149,-31 dBm
131.13491,-30 dBm
131.441978,-31 dBm
131.749598,-34 dBm
132.056345,-40 dBm
132.363828,-39 dBm
132.67102,-34 dBm
132.977925,-31 dBm
133.285401,-30 dBm
133.59249,-29 dBm
133.899242,-30 dBm
134.206999,-33 dBm
134.514065,-32 dBm
134.821281,-31 dBm
135.128392,-32 dBm
135.435715,-31 dBm
135.742933,-33 dBm
136.049871,-31 dBm
136.357673,-32 dBm
136.66434,-32 dBm
136.971665,-32 dBm
137.278791,-29 dBm
137.893344,0 dBm
138.200224,-42 dBm
138.507692,-37 dBm
138.815269,-31 dBm
139.429116,-31 dBm
139.736643,-31 dBm
140.043564,-32 dBm
140.351272,-30 dBm
140.657888,-31 dBm
140.965226,-32 dBm
141.272466,-31 dBm
141.595143,-34 dBm
141.886827,-43 dBm
142.193908,-42 dBm
142.501233,-37 dBm
142.808811,-29 dBm
143.115455,-33 dBm
143.422634,-30 dBm
143.729914,-32 dBm
144.037124,-30 dBm
144.345512,-31 dBm
144.651305,-31 dBm
144.958695,-33 dBm
145.265959,-31 dBm
145.573097,0 dBm
145.880301,-32 dBm
146.187635,-32 dBm
146.494315,-33 dBm
147.108507,-33 dBm
147.416252,-32 dBm
147.72354,-36 dBm
148.030718,-38 dBm
148.338316,-40 dBm
148.64495,-32 dBm
148.952311,-30 dBm
149.259506,-34 dBm
149.566721,-31 dBm
149.873912,-30 dBm
150.180939,-30 dBm
150.488311,-31 dBm
150.795501,-32 dBm
151.102173,-41 dBm
151.410233,-42 dBm
151.716871,-33 dBm
152.024604,-29 dBm
152.331472,-28 dBm
152.638493,-32 dBm
152.945734,-31 dBm
153.25305,0 dBm
153.562105,-31 dBm
153.866739,-33 dBm
154.180154,-32 dBm
154.481651,-33 dBm
154.788926,-31 dBm
155.10007,-32 dBm
155.40342,-31 dBm
155.710403,-32 dBm
156.020353,-27 dBm
156.324968,-33 dBm
156.639044,-34 dBm
156.939463,-38 dBm
157.245924,-39 dBm
157.55379,-44 dBm
157.860983,-44 dBm
158.167675,-36 dBm
158.474893,-33 dBm
158.781912,-32 dBm
159.089653,-30 dBm
159.39697,-31 dBm
159.703929,-30 dBm
160.011238,-32 dBm
160.31852,-31 dBm
160.625497,-30 dBm
160.932952,0 dBm
161.23986,-30 dBm
161.547654,-35 dBm
161.8545,-39 dBm
162.161435,-40 dBm
162.468797,-39 dBm
162.775877,-35 dBm
163.697659,-30 dBm
164.004776,-29 dBm
164.317762,-32 dBm
164.619063,-30 dBm
164.926381,-31 dBm
165.233458,-30 dBm
165.541128,-31 dBm
165.848049,-30 dBm
166.155087,-31 dBm
166.462417,-31 dBm
166.769444,-29 dBm
167.077172,-28 dBm
167.38656,-32 dBm
167.692583,-29 dBm
167.998375,-33 dBm
168.305598,-37 dBm
168.616733,0 dBm
168.920308,-43 dBm
169.226942,-37 dBm
169.534715,-30 dBm
169.840896,-31 dBm
170.148751,-32 dBm
170.45585,-31 dBm
170.762984,-31 dBm
171.070247,-32 dBm
171.377457,-32 dBm
171.684651,-30 dBm
171.99193,-31 dBm
172.60663,-37 dBm
173.220564,-42 dBm
173.527848,-34 dBm
173.835046,-32 dBm
174.14269,-30 dBm
174.449304,-29 dBm
174.756528,-30 dBm
175.063371,-31 dBm
175.371075,-31 dBm
175.678557,-31 dBm
175.985418,-31 dBm
176.292447,0 dBm
176.600209,-28 dBm
176.906989,-29 dBm
177.213959,-32 dBm
177.521731,-30 dBm
177.82862,-34 dBm
178.136175,-38 dBm
178.44288,-40 dBm
178.749931,-43 dBm
179.057688,-36 dBm
179.364375,-30 dBm
179.675304,-30 dBm
180.286101,-32 dBm
180.595038,-31 dBm
180.900793,-29 dBm
181.207845,-30 dBm
181.51474,-30 dBm
181.822021,-29 dBm
