Time,Signal strength (dBm)
0.150062,-36 dBm
0.457665,-35 dBm
0.764308,-38 dBm
1.071648,-44 dBm
1.378738,-40 dBm
1.685781,-39 dBm
1.993177,-38 dBm
2.30081,-40 dBm
2.607494,-41 dBm
2.91473,-42 dBm
3.22237,-40 dBm
3.529012,0 dBm
4.143518,-39 dBm
4.450684,0 dBm
4.758039,-40 dBm
5.064949,-38 dBm
5.372501,-40 dBm
5.679118,-36 dBm
5.986867,-36 dBm
6.293246,-52 dBm
6.601064,-40 dBm
6.908628,-42 dBm
7.215562,-38 dBm
7.83029,-38 dBm
8.137277,-39 dBm
8.444188,-38 dBm
8.751449,-40 dBm
9.058434,-39 dBm
9.366188,-40 dBm
9.672987,-39 dBm
9.980665,-38 dBm
10.286942,-38 dBm
10.59452,-37 dBm
10.902258,-37 dBm
11.209002,-43 dBm
11.82338,-40 dBm
12.130357,0 dBm
12.438224,-40 dBm
12.745394,-42 dBm
13.052208,-40 dBm
13.359462,-39 dBm
13.666511,-39 dBm
13.974191,-39 dBm
14.281399,-39 dBm
14.588053,-39 dBm
14.895407,-39 dBm
15.202608,-39 dBm
15.509726,-40 dBm
15.816987,-39 dBm
16.124032,-41 dBm
16.431453,-38 dBm
16.738419,-54 dBm
17.046069,-43 dBm
17.353249,-38 dBm
17.659875,-38 dBm
17.967744,-38 dBm
18.274548,-40 dBm
18.581611,-37 dBm
18.888308,-38 dBm
19.195908,-38 dBm
19.503619,-39 dBm
19.810409,0 dBm
20.117554,-38 dBm
20.731918,-38 dBm
21.039531,-38 dBm
21.346884,-41 dBm
21.653455,-45 dBm
21.960886,-39 dBm
22.268069,-40 dBm
22.575577,-39 dBm
22.882386,-40 dBm
23.189393,-42 dBm
23.497254,-41 dBm
23.80407,-41 dBm
24.110991,-41 dBm
24.418843,-40 dBm
24.725484,-40 dBm
25.03278,-40 dBm
25.339947,-41 dBm
25.647096,-40 dBm
25.955868,-40 dBm
26.261501,-38 dBm
26.568697,-48 dBm
26.875902,-40 dBm
27.18305,-39 dBm
27.490784,0 dBm
27.796967,-39 dBm
28.412359,-41 dBm
28.7189,-40 dBm
29.026246,-40 dBm
29.333892,-40 dBm
29.640619,-39 dBm
29.948357,-39 dBm
30.255205,-38 dBm
30.562477,-37 dBm
30.869931,-44 dBm
31.176552,-44 dBm
31.484205,-38 dBm
31.791141,-38 dBm
32.098253,-37 dBm
32.405241,-41 dBm
32.712541,-41 dBm
33.019961,-41 dBm
33.327123,-40 dBm
33.63418,-41 dBm
33.941882,-41 dBm
34.248538,-41 dBm
34.55584,-40 dBm
34.863012,-41 dBm
35.170084,0 dBm
35.477843,-40 dBm
35.784547,-35 dBm
36.091662,-49 dBm
36.399435,-39 dBm
36.705993,-41 dBm
37.320649,-39 dBm
37.627842,-38 dBm
37.935397,-38 dBm
38.241958,-38 dBm
38.549431,-38 dBm
38.856952,-38 dBm
39.165019,-37 dBm
39.470936,-37 dBm
39.778098,-37 dBm
40.084825,-37 dBm
40.392502,-38 dBm
40.699494,-39 dBm
41.006908,-44 dBm
41.314095,-42 dBm
41.621213,-40 dBm
41.928496,-45 dBm
42.235501,-38 dBm
42.543346,-40 dBm
42.850071,0 dBm
43.157229,-41 dBm
43.464458,-41 dBm
43.771544,-42 dBm
44.078519,-41 dBm
44.386502,-41 dBm
45.000558,-42 dBm
45.307531,-40 dBm
45.616691,-37 dBm
46.228633,-35 dBm
46.536411,-45 dBm
46.843022,-42 dBm
47.150742,-38 dBm
47.460601,-38 dBm
47.765263,-36 dBm
48.072262,-37 dBm
48.379502,-36 dBm
48.686778,-38 dBm
48.993396,-37 dBm
49.301056,-38 dBm
49.608428,-38 dBm
49.915639,-37 dBm
50.222561,-37 dBm
50.529892,0 dBm
50.837094,-38 dBm
51.144094,-38 dBm
51.451523,-39 dBm
51.758634,-46 dBm
52.065993,-49 dBm
52.373193,-39 dBm
52.680804,-38 dBm
52.987885,-41 dBm
53.294612,-40 dBm
53.909083,-41 dBm
54.216158,-42 dBm
54.523117,-42 dBm
54.830364,-41 dBm
55.137909,-41 dBm
55.445371,-39 dBm
55.752167,-39 dBm
56.059907,-41 dBm
56.36674,-35 dBm
56.673788,-49 dBm
56.981477,-44 dBm
57.288155,-42 dBm
57.595492,-42 dBm
57.902609,-38 dBm
58.209814,0 dBm
58.517465,-40 dBm
58.824003,-37 dBm
59.131491,-39 dBm
59.439048,-37 dBm
59.74562,-38 dBm
60.053451,-38 dBm
60.361412,-37 dBm
60.667814,-38 dBm
60.974612,-40 dBm
61.588903,-41 dBm
61.896102,-47 dBm
62.203791,-44 dBm
62.511027,-48 dBm
62.817643,-37 dBm
63.125043,-45 dBm
63.432234,-38 dBm
